tweet,label1,label2,label3,finalLabel,sector
"@ProfAssiri السلام عليكم دكتور، طفلي بعمر سنتين ابتلع بطارية دائرية صغيرة ذهبنا به ل ٥ مستشفيات وجميعهم امتنعوا عن اخراجها بدون سبب من ضمنها مستشفى الحبيب التخصصي ودلة والمستشفى الجامعي بحكم عدم وجود ملف. هل بقائها في بطنه وانتظار خروجها مع الفضلات فيه ضرر؟",-1,-1,-1,-1,private
@Dr3abbod @HMG هذه تحتاج اوراق للرد عليها ... شخصيا وبعد تجربتين مريرة لي ان لم اجد علاج في اي مستشفى اخر افضل العلاج الشعبي على التوجه لمستشفى الحبيب التخصصي او العليا,-1,-1,-1,-1,private
الله لايحوجن على مستشفى الحبيب التخصصي ببريدة وماقول إلا الله فوقهم وقوي عليهم 😔🤍 @HMG,-1,-1,-1,-1,private
@Mohammad2684 @Saudi_FDA امس الثلاثا في صيدلية مستشفى الحبيب فرع التخصصي سعر اللعلبة ٥٠ حبة ٢٠٠ ريال اين حماية المستهلك من هذا  الجشع,-1,-1,-1,-1,private
حسبي الله ونعم الوكيل على مسئولين مستشفى الظهران التخصصي للعيون حسبي الله عليهم ما يدرون ان فيه رب العالمين ينصفني منهم ولا يشوفون ملكنا الكريم الحبيب وولي عهده كيف يهتمون بالمواطن واحتياجاته بيجي لهم يوم ان شاء الله ويعطون كل ذي حق حقه شكواي لرب العالمين وحكومتنا الرشيدة,-1,-1,-1,-1,private
 أخي اللواء ركن حمد رحمه الله وغفر له دخل مستشفى الحبيب التخصصي وكان يعاني من ألم في البطن وقاموا بإحراء اشعة مقطعية وإجراء 3 عمليات في ثلاثة أيام متتالية وفي كل مرة يعلنون الفشل وعلى أثر ذلك تم ادخاله العناية المركزة ثم انتقل الى رحمة الله ورفعنا شكوى للصحة بالحالة فأفادوا أن ذلك خطأ طبي @hananalahmadi @AbdulSadoun,-1,-1,-1,-1,private
@EmadAlmudaifer للمعلوميه...أحد أقربائي أبلغني الان أنه منذ 4 أيام  ذهب إلى مستشفى الحبيب في طريق التخصصي وأخطر منه مبلغ 1750 ريال (كشف طبيب350 ريال +1400ريال لإجراء الفحص)لم يكشف عليه أي طبيب.إشتكى على وزارة الصحه اليوم وتم إعادة المبلغ كاملا له..ناس تخاف ماتختشي.أرجو من الجميع نشره والإستفاده,-1,-1,-1,-1,private
@Ask_Alriyadh1 الحبيب لو تقرصك نملة قالوا لك تحاليل واشعة مقطعية شف اي مستشفى حكومي مثل الحرس التخصصي العسكري واذا مصر الحبيب اسالهم واسال عن اسم الدكتور وشف اذا عنده عيادة ثانية,-1,-1,-1,-1,private
"@SaudiMOH #وزير_الصحة مع احترامي لمقامكم بابكم خربان معالي الوزير مساء اليوم كنت في مستشفى سليمان الحبيب فرع التخصصي و بعض الممرضات لم يرتدين الكمامات وعند الاستفسار افادو ""كمام خربان""",-1,-1,-1,-1,private
#كرونا_السعودية مستشفى الحبيب التخصصي يرفض استقبال حالات اشتباه كرونا اليوم!!  مع العلم انه مركز الاتصال افاد بإمكانية القدوم لماذا؟؟ @HMG_Care  @SaudiMOH,-1,-1,-1,-1,private
@a1015586801 جداً سيئة وفاشلة مستشفى الحبيب كانت لي تجربه معهم مع فرع التخصصي بصراحة حسيت حالي في حكومي مع خاص وبفلوسي بعد,-1,-1,-1,-1,private
مستشفى الحبيب - التخصصي  اليوم لا يوجد كمامات توزع على المراجعين.  @SaudiMOH,-1,-1,-1,-1,private
@tfrabiah معالي الوزير .تنادي ومعك جهاز الوزارة بالالتزام بالجلوس في البيت وامتثالا لذلك طلبت علاجي من مستشفى الحبيب فىع التخصصي ودفعت المبلغ ووعدوني خلال يوم او يومبن الان لي ٩ ايام وكل يوم اتصل بهم ويتجاهلون حاجة المريض للدواء  وانتظاره  طيلة هذه الفترة .,-1,-1,-1,-1,private
@tfrabiah السلام عليكم ورحمة الله وبركاته  اخي اللواء حمد دخل مستشفى الحبيب التخصصي لمغص بسيط  لحالة مع انه يعالج في المتستشفى العسكري بالرياض فتم ادخاله العمليات ثلاثة ايام على التوالي من قبل طبيب ليبي الجنسية بعد عمله اشعتين مقطعية ثم قام بإدخاله العناية المركزة وقام بوضعه على الاجهزة,-1,-1,-1,-1,private
@HMG_Care @HMG @SaudiMOH  السلام عليكم ممكن الإفادة بطريقة رفع شكوى على مستشفى الحبيب فرع التخصصي؟ الشكوى عبارة عن تشخيص خاطئ كاد يؤدي إلى عملية,-1,-1,-1,-1,private
"@tfrabiah ياسعادة الوزير ، تم الغاء ملفي في مستشفى التخصصي بحجة اني لا احتاج علاج، مع العلم اني مصاب بمرض من ٣٥ سنة وهوغير معروف ولم يستطع مستشفى الحبيب والعسكري تشخيصه . وعندما لم يعرفوا مرضي او لم يستطيعوا تشخيصة قالو انك لا تحتاج علاج .",-1,-1,-1,-1,private
@SaudiMOH937 ما قصرتوا لا أنتم ولا مستشفى الحبيب في التخصصي ولا اللجنة الطبية قاتلتوا حتى أخرجتوه من المستشفى رغم حالته الصعبة لينتقل إلى رحمة الله في البيت هذا اليوم . والحمدلله على كل حال ونحن راضون بقضاء الله وقدره وحسبنا الله ونعم الوكيل وإنا لله وإنا إليه راجعون .,-1,-1,-1,-1,private
@aaaaaa2003_22 @tfrabiah   احنا في عيد الاضحى اللي فات .. توفيت قريبتي بعد عمليه تغيير مفصل الركبه في مستشفى الحبيب فرع التخصصي هذا يسمى قتل طبي وليس خطاء طبي لكثرة حالات الوفيات لديهم الغريب بان د. الربيعه  كان يعمل احصائيه معلنه عن المستشفيات واخطائها وكان الحبيب من اكثر المستشفيات بالاخطاء  https://t.co/wgpVP4eyvh,-1,-1,-1,-1,private
@AliAlHoshan @SaudiMOH السلام عليكم اخوي مستشفى الحبيب الي في التخصصي او اَي فرع لا انصح فيه ذبحوا امي بالمسكنات والإبر الين زوق جسمها وخلوها في العنايه شفطو فلوسنا الليلة بعشرة آلاف وبعد ماخذوا حول ٢٠٠ الف ضربوها أبره الين ماتت مستشفى نصب واحتيال همهم الوحيد الفلوس  حسبي الله عليهم,-1,-1,-1,-1,private
والدتي مساء امس زارت مستشفى الحبيب بطريق التخصصي و تم اخذ عينات من الدم لاجراء فحوصات تخص التخثر بالدم ولاهمالهم بالبحث عن الفاتورة الطبية تخثرت العينات وتم طلب اخذ عينات مره اخرى بحجة ان الامر طبيعي حدوثه! اتمنى اتخاذ الاجراء اللازم لان الامر تكرر عدة مرات..  @SaudiMOH,-1,-1,-1,-1,private
@SaudiMOH @HMG @tfrabiah @riyadhhealth للاسف شهر كامل اطارد ورا مستشفى الحبيب التخصصي لتطعيم طفلي لعمر سنتين والرد يكون التطعيمات غير متوفرة,-1,-1,-1,-1,private
غرفة الانتظار في مستشفى الحبيب فرع التخصصي مع الاسف وحدة ملت من لبانتها ولصقتها على يد الكرسي وكان على يسارها سلة المهملات ما ادري وين الوعي خاصة في هالوقت لاحول ولا قوة الا بالله.  https://t.co/osTXAldvJG,-1,-1,-1,-1,private
@HMG من افشل واسوء مجموعة الحبيب فرع التخصصي..تخيل دكتور ينسى متى موعد عملية مريض؟ وتخيل مستشفى خاص يحدد لك موعد عملية ولا يوفر لك غرفة تنويم.. غير المواعيد الملغيه ولا يبلغ المريض بهذا الشئ..وتقدم شكوى بالاخير يكلمك موظف اسفين نعتذر؟؟,-1,-1,-1,-1,private
@HMG_Care @MDAzd8 @HMG @MCgovSA @SaudiMOH @tfrabiah  حسبي الله على مستشفى الحبيب فرع التخصصي اليوم تسكر علي باب الاصنصير ...طيرني لولا لطف الله كان اللحين تقطعت ..ليه مافيه حساسات يفتح للشخص وليه يسكر بسرعه وداخله مافيه تهويه شكلها من عشرين سنه ماتغيرت,-1,-1,-1,-1,private
"@baderalmosaieed عملت موعد معكم بعد شهرين المحاوله ، عملت عيادتكم الفحصوات المطلوبه و لازلت في انتظار منسقتكم تعمل موعد معكم بعد اخذ تلك الفحوصات. مستشفي الحمادي غير مناسب وينقصه التنظيم.",-1,-1,-1,-1,private
@ALHAMMADI_HOSP السلام عليكم. لدي ملف بالعليا وذهبت للسويدي وحسب افادة مشرف العيادات بالفترة المسائية فانه لا بد لي ان ابداء من جديد فحوصات وتحاليل لاجل ان يتابع الدكتور حالتي مع العلم انه يقدر ان يدخل على رقم الملف ويطلع على كل شي حسب افادة العليا ام انه زيادة المدخول المادي,-1,-1,-1,-1,private
@ALHAMMADI_HOSP ابشركم بعد مرور 50 دقيقه حدثو التأمين  الحين انتظر عند الدكتور🙄 هذا مافيه زحمه بالصباح شكرا لكم,-1,-1,-1,-1,private
@ALHAMMADI_HOSP اتصل علشان اخذ موعد واطلب من الموظف اتصال المشرف يقول طيب وياخذ المعلومات ولا يجيني اي اتصال اي خدمات @MCgovSA  غش تجاري بالمستشفيات,-1,-1,-1,-1,private
@SehhatyApp انا اخذت موعد للقاح كورونا الجرعه 3 في مستشفى الحمادي ويوم وصلت للحمادي يقول اللقاح غير متوفر,-1,-1,-1,-1,private
@SaudiMOH937 السلام عليكم لو سمحت انا حجزت في مستشفى الحمادي الساعة 3.30 العصر وبعد ما ذهبت قال لنا ان اللقاح خلص اليوم وقالنا تعالوا بكرة الساعة 9 صباحا وانا عندي عمل ماذا افعل,-1,-1,-1,-1,private
@ALHAMMADI_HOSP سويت امس مسحة كورونا ولا ارسلتوا لي النتيجة!!! على ايش تاخذون فلوس؟!!! فعلا اسوأ مستشفى,-1,-1,-1,-1,private
@ALHAMMADI_HOSP مستشفى يعرض موظفينه للخطر وللحين فاتح عيادات خارجيه ويستقبل مرضى ولا مانع من إعطاء المرضى تصريح المرور وتكدس الموظفين بالاستقبال ولا اي إحترازات لماذا لم يطبقو نظام مكتب العمل٦٠٪من الراتب مكفلة به الدولة الله يعينهم الصراحه رحت وشفت كانه ايام عاديه ولايوجد وباء,-1,-1,-1,-1,private
@SaudiMOH رساله الي وزاره الصحه :  انا عندي مشكله صارت مع مستشفي الحمادي فرع النزهه ( السيء) اخاطب من انتم او الضمان الصحي,-1,-1,-1,-1,private
@ALHAMMADI_HOSP ارسلت مشكلتي ولا جاني منكم رد,-1,-1,-1,-1,private
@ALHAMMADI_HOSP  صار لي اسبوع بحاول احجز موعد في مستشفى الحمادي - السويدي من خلال التلفون. كل ما يفتح خط التلفون ويتم التحدث بيغلق الخط فورا. ايش المشكلة؟؟,-1,-1,-1,-1,private
@cchiksa عندي مشكله في مستشفي الحمادي فرع السويدي للاسف هناك اطباء لايعرفون الامانه ويضرونك ويضرون التامين انا عندي طفله عمرها حوالي ٤ سنوات راجعه طبيب اسنان  هناك ولاخلا ولابقي شي الا ماتحتاجه هالطفله ورفعنا للتامين واتت الموافقه علي تحملي ٨٠٠٠ والتامين ٢٠٠٠ ولكن لم اقتنع ... يتبع,-1,-1,1,-1,private
أسوأ رعاية طبية تلقاها في مستشفى الحمادي لو بتموت تموت وتدفن والحمادي ماخلصوك  طواري مايستقبل من عند الباب يجبرك ع العيادات تروح للعيادات يدخلون خمسة جو بعدك بعذر عندهم موعد  ومريضك يتألم وعادي عندهم  وش الحل !!!.؟,-1,-1,-1,-1,private
"يؤسفني، ويؤلمني وبشده بل انه مؤلم ان اراء مجهودات وزارات  مجهودات دوله تهمش من مستشفى الحمادي تنومت ابنتي لاشتباه كورونا ماحز بنفسي أنني لم اتسال عن حياتها ولم تؤخذ ولو نقطه تقصي ومتابعه",-1,-1,-1,-1,private
@ALHAMMADI_HOSP  اتصلت في قسم المواعيد اربع مرات في اوقات مختلفه ومافي اي رد مع العلم كنت اتصل باي ويكون الرد بثواني ما ادري ايش صارلهم,-1,-1,-1,-1,private
@ALHAMMADI_HOSP  مستشفى الحمادي النزهه للأسف توقعنا بتكون الخدمه عندكم متميزه ولكن للأسف المستشفى جديد والخدمة سيئة والتعامل أسوى مقارنه بمستشفى الحبيب فرق كبير جدا  تواصلو معي وراح اعطيكم بعض الملاحظات اذا الموضوع جدوة الخدمه يهمكم,-1,-1,-1,-1,private
@SaudiMOH روحوا شوفوا مستشفى الحمادي في النزهه كيف يتعامل مع الناس اللي رايحة عشان اللقاح اهانات وقلة ادب الموضفين اللي عند الباب ومدير الامن بالذات وعدم احترام وعدم تنظيم ومخالفة اجراءات الاحترازية وتجمعات وتهديد للناس بانه والله مافي احد فيكم بياخد اللقاح والناس كلها صورت,-1,-1,-1,-1,private
@ALHAMMADI_HOSP  هل يعقل قيمة سرير المرافق بسعر فندق ٥ نجوم وفي الاخير مرتبة السرير عبارة عن حديد!!  ظهري سار مرسوم مثلثات مثل الصورة   خذ ما تريد ولكن اعطنا مقابل له  https://t.co/1lD02720ZZ,-1,-1,-1,-1,private
"تم اخراج طفلتي من مستشفى الحمادي (ICU) بحجة عدم تغطية التامين،تم توفير تامين للطفلة وتم الرفض من قبل شركة التامين بحجة لايوجد طلب من المستشفى! احمل مستشفى الحمادي وبوبا كامل المسؤولية الصحية والقانونية امام الجهات المعنية @cchiksa @SaudiMOH937 @BupaArabia @loaynazer @DrSafug",-1,-1,-1,-1,private
@ALHAMMADI_HOSP للاسف صرتو من أسوأ المستشفيات مازلتو عايشين بالتسعينات مكانك سر  اتوقع حتى ادارة تقنية معلومات مافيه عندكم واذا فيه فهي مصيييييه,-1,-1,-1,-1,private
مستشفى الحمادي فرع النزهة بالرياض اسوأ تجربة راح يمر فيها المريض والمرافق حتى الزائر,-1,-1,-1,-1,private
@cchiksa انا الان في مستشفى الحمادي فرع النزهه لي اكثر من ساعه وللأسف جتني ممرضه تقول الشاش خلص رح اشتره من برا   مع العلم اني دافع كشف وعندي تأمين الحاله مجرد غيار على حرق,-1,-1,-1,-1,private
@ALHAMMADI_HOSP حرام المبنى الجديد ولايوجد فيه جوده خدمه الانتظار والانظمه عطلانه في الصيدلية والنداء عشوائي للاسف الزياره السادسة له ولكن يوجد سوء تنظيم,-1,-1,-1,-1,private
@Fology مستشفى الحمادي وخدمتهم 😂 خلاص خابزه كل تصريفاتهم وحركاتهم,-1,-1,-1,-1,private
@ALHAMMADI_HOSP مستشفى سئ جدا وخدمه سيئه وموظفينه نفسيات,-1,-1,-1,-1,private
@ALHAMMADI_HOSP السلام عليكم شوفو لكم حل عشان نصرف دواء نجلس ساعة ولا في الا ثلاث شبابيك بس ؟؟؟ المستشفيات الحكومية صارت اهون واسرع وارتب,-1,-1,-1,-1,private
@ALHAMMADI_HOSP باذن الله الشكوى تنرفع لصحه اجي ماحصل لقاح ونا عندي موعد,-1,-1,-1,-1,private
"@ALHAMMADI_HOSP السلام عليكم، لي ثلاث ايام احاول اتواصل مع علاقات المرضى باوقات مختلفة مافيه رد، ولما اتصل على الشكاوي برضو لا حياة لمن تنادي، يا اخوان ترا انا جاي اراجع عن مشكلة صحية مستعجلة مو طلب مطعم",-1,-1,-1,-1,private
@ALHAMMADI_HOSP السلام عليكم اسوء مستشفى من ناحية الخدمة تم توصيف حالتي خطاء وبعد ذالك تم صرف علاج لي من قبل الدكتور ولَم يكن كامل العلاج يشمل التامين وتم توضيح ذالك وبان ما يشمله التامين من علاج غير موجود الان فتم اخذ رقم جوالي لتواصل فور وصول العلاج ولكن لمدة ثلاث ايّام,-1,-1,-1,-1,private
@ALHAMMADI_HOSP السلام عليكم احوال اسوي موعد عبر موقعكم ويظهر لي الخطأ الموضح بالصورة .. بالرغم من اني اختار القسم ! والهاتف ما تردون .. ما الحل ؟,-1,-1,-1,-1,private
@ALHAMMADI_HOSP اتمنى منكم  الاطلاع على الاهمال من قبل الممرضات والاقسام اتواصل مع المدير المناوب دون اي رد @saudimci,-1,-1,-1,-1,private
@ALHAMMADI_HOSP ليه ماحد يرد ابي اتاكد من الموعد ماجاني اتصال ولا رساله !!,-1,-1,-1,-1,private
@cchiksa السلام عليكم مستشفى الحمادي فرع السويدي لا يوفر موظفين بشكل كافي لسحب عينات الدم وذلك بشكل دائم... ويمكنكم التحقق بالزياره المستشفى. كيف يمكن تقديم شكوى بغرض تحسين الاداء @ALHAMMADI_HOSP @cpaksa,-1,-1,-1,-1,private
مستشفى الحمادي اكثر مستشفى يجيب الغلقة حتى لو انك جايه بعافيتك من تدخله تنمرض,-1,-1,-1,-1,private
"@ALHAMMADI_HOSP الوضع في الحمادي سيء جدا خصوصا فرع السويدي لمن يتم تحويلهم من العيادات الخارجية لاخذ مغذي او علاج بالوريد،،، غرفه وحده فقط وزحمه وانتظار طويل وازعاج،،، مافي مراعاة للمرضى ابداً",-1,-1,-1,-1,private
@SaudiMOH #مستشفى_الحمادي_العليا لايوجد عندهم تنظيم لاخذ اللقاح غير انه الموظفين تعاملهم سئ جدا مع المراجعين بطريقه مستفزه,-1,-1,-1,-1,private
@SaudiMOH  كيف تعطى مستشفى الحمادى السويدى عينة الدم لاهل مريضة بالكورونا فى يديه وتطلب منهم ان يذهبوا ليحللوها فى معمل فى خارج المستشفى. والله يجب غلق هذه المستشفى حالا .. اين الرقابة !!!,-1,-1,-1,-1,private
@ALHAMMADI_HOSP  المواعيد عن طريق الموقع حكم معطل ياليت تشوفون حل بعض مرضاكم من ذوي الاحتياجات الخاصة ما يقدر يتصل عشان ياخذ موعد يا ليت تساعدونا,-1,-1,-1,-1,private
@ALHAMMADI_HOSP اخذتو منا مسحه ولنا ايام نبي نعرف النتيجه هل لازم نسوي بلاغ عليكم ولا ايش ويجيني الاستقبال يقول بعد عشر ايام النتيجه الوزاره محدده الايام ليش كذا,-1,-1,-1,-1,private
انا امراءه مسنه وعندي سكر وضغط والتهاب في الاعصاب وربو واراجع في مستشفى الحمادي وعلاجي خلص واتصلت فيهم لصرف العلاج ورفضوا قالوا لازم حضورك وانا اخاف اروح اتصلت بمنصة وصفتي قالوا ماتسجلتي عندنا واتصلت بالرقم ٩٣٧ قالوا ماعندنا حل ماذا اتصرف اقعد بدون علاج او ماذا,-1,-1,-1,-1,private
سعادة الوزير @tfrabiah_x000D_معقول يدخل مريض يعاني من التهاب رئوي حاد ويصنّف بغرف العزل وتتنظف غرفته بهذه المكنسة اعتذر عن الصورة حتى أضعها اترددت احتراما للمتابعين هذه المكنسة لو في بيتي ماكنست فيها حتى السطح كيف مستشفى من أكبر المستشفيات في الرياض توصل لهذا الاستهتار ؟#مستشفى_الحمادي  https://t.co/ytsAWy218q,-1,-1,-1,-1,private
@ALHAMMADI_HOSP خدمتكم صارت سئة جدا الموافقة أجت من التأمين وأقعد ساعه عشان تجي من الحمادي 😡😡,-1,-1,-1,-1,private
@HMG_Care يشهد الله اني اليوم اضطريت لطواريء #مستشفى_الحمادي ولاحظت الفرق مستشفى الحبيب اكاد اجزم ان لا احد يستطيع الوصول لمستواه!!! حتى موظفي ستاربكس غير كأن جميع موظفي الحبيب تلقوا التدريب نفسه!الحمادي برود في الخدمة ولاعلم في التعامل مع العملاء موظفين بلداء لايليقون بالطواريء!,-1,-1,-1,-1,private
@ALHAMMADI_HOSP ياااخي فرعكم اللي في السويدي من اسوء المستشفيات التي رأيت قمة في الاستهتار.. صار لنا خطأ طبي وقدمنا شكوى لقسم الشكاوي ولما تابعنا الشكوى قالو لنا ان الشكوى اغلقت بدون اخطارنا بذلك حتى . حسبنا الله ونعم الوكيل على الطبيب اللي سوا الخطأ وان شالله سنتوجه للجهات الرسمية,-1,-1,-1,-1,private
@ALHAMMADI_HOSP مع الاسف مستشفى الحمادي من اسواء المستشفيات  من جميع النواحي وسمعتة سيئة,-1,-1,-1,-1,private
@ALHAMMADI_HOSP مساء الخير كيف الحال اخواني انا لي اكثر من نص ساعة و انتظر احد من الممرضات تجي تأخذ مسحة كاورونا ايش الخدمة ذي اول مرة اجي المستشفى و اخر مرة سوء تعامل كل ما قلت احد شي قالوا الممرضات اخذينها في قسم ثاني,-1,-1,-1,-1,private
@ALHAMMADI_HOSP فرع السويدي من اسوء الفروع لمستشفى الحمادي حيث انني اتيت ولم اتلقى اي عنايه وحيث انا المستشفى مليئ بصراصير اين وزارة الصحه عن ما يحدث  https://t.co/HFAWF0m3Cj,-1,-1,-1,-1,private
@ALHAMMADI_HOSP الطورئ دكتور اطفال واحد وزحمه  تجربه سيئه وان شالله تكون اخر زياره,-1,-1,-1,-1,private
"@Ask_Alriyadh1 اهم اهم اهم شي روح/ي دكتور كويس ..، وحده م صحباتي امها سوت هالعملية ب مستشفى الحمادي وللاسف حصل خطأ طبي وماتت 😞، عشان كذا انتقي الدكتور والمستشفى ب ""عناية""",-1,-1,-1,-1,private
@see_moone في مستشفى الحمادي كان لديهم طبيب استشاري مسالك بولية جنسيته ليبي اجرى عمليات لبعض المرضى باءت بالفشل كان أحد هؤلاء المرضى شقيقي وبعض المرضى كاد يسبب لهم فشل كلوي وحين بدا بعض المرضى مطالبته قام المستشفى بإنهاء خدمته وتسفيره,-1,-1,-1,-1,private
@ALHAMMADI_HOSP   خدمة العملاء عندكم سيئة جددددداً مو معقوله كل مرا اتصل محد يرد او اللي ترد تحولني علئ وحده ماترد !!,-1,-1,-1,-1,private
@ALHAMMADI_HOSP الاستقبال في طواري السويدي الان واحد فقط هل يعقل ذلك لمستشفى في هذا الحجم ماذا لو قدر الله وكثر المراجعين او حدث حادثه,-1,-1,-1,-1,private
"@ALHAMMADI_HOSP مستشفى ضخم لكن متخلف وادارة سيئة جدا""!. لا موقع اليكتروني زي الناس ولا يوجد لديكم تطبيق للجوالات، ورقم هاتفكم يتغير كل شوي، وكادر طبي وإداري بلغ بهم العمر عتيا! يوجد مستشفى صغبر اسمه @AldaraMed حديث الافتتاح، تعلمو منه فن الادارة الحديثة رجاءا"".",-1,-1,-1,-1,private
@ALHAMMADI_HOSP خلص رمضان وخلص العيد وانتم على وضعكم لازم في مراجعة شكوى لوزارة الصحة ولا المريض العادي ما ياخذ حقه الطبيعي في موعد طبيعي زي العالم والناس #تسيب الارقام والتحويلات زي عدمها لكن بما ان فيه وزارة الصحة فهي راح تاخذ حقي منكم  ولو استعنت فيهم في كل موعد مراح اقصر #حقي_اخذه_كامل,-1,-1,-1,-1,private
@ALHAMMADI_HOSP مستشفي ليس مناحبة ألطاقم الطبي أو العناية المركزة بل من ناحية المبني لان ليس لهم أي تصنيف بالطب أو   العناية الطبية للاسف . اتكلم عن مريض يدخل المستشفى من الطوارئ الي العناية المركزة فعلا حرام هذا المساحة بدون روح تعج بشفاء المرضي بل علي العكس تزويدهم مرض,-1,-1,-1,-1,private
@ALHAMMADI_HOSP يا اخي ماهذا السوء الذي تتعاملون بعده مع مرضاكم اتصلت اكثر من عشرين مره على قسم المواعيد في العليا يرفعون السماعه وبعد ذلك يغلقونها دون رد اهكذا يكون التعامل في هذه اللحظات تم هذا الامر,-1,-1,-1,-1,private
@ALHAMMADI_HOSP   السلام عليكم... اتمنى تمنعون الجوالات من الموظفين في وقت العمل....  خاصتا موظفين الاستقبال....,-1,-1,-1,-1,private
"@SaudiMOH السلام عليكم!  حدثت مشكلة كبيرة خارج مستشفى الحمادي بالسويدى في رياض بسبب حشد كبير من الناس دون تباعد فى انتظار اللقاح.  لسوء الحظ ، من الصباح حتى الساعة 3 مساءً ، لم يتم تلقيح هؤلاء الأشخاص.  كانت هناك مشكلات في نظام مواعيد اللقاحات سبب قبولها خانات زمنية غير محدودة.",-1,-1,-1,-1,private
@ALHAMMADI_HOSP الان مازلت في الانتظار والممرضة قالت لي انتظر لأنك جيت متأخر !!!,-1,-1,-1,-1,private
@ALHAMMADI_HOSP لدي شكوي قدمتها الي الاستاذ عبدالله ال عثمان مدير مكتب المدير ووعدني بالحل ولكن مر الان اكثر من شهر ولم يصلني اي اتصل والا حل ولا اعتذار هل ياتري هذه قيمة العميل لديكم للاسف شي مؤسف ان يكون مستوي الحمادي وصل لهذا المستوي,-1,-1,-1,-1,private
ماهمهم صحة المريض (جدتي)!!! #مستشفى_الحمادي_ينتهك_حقوق_الانسان  https://t.co/xxd7V29k18,-1,-1,-1,-1,private
@zeprx_kaz @emara_riyadh @Amanatalriyadh @kamnapp @SaudiMOH @ALHAMMADI_HOSP مستشفى الحمادي من برا الله الله ومن الداخل يعلم الله,-1,-1,-1,-1,private
@SaudiMOH يا أسفي على مستشفى الحمادي كنت أفتكر ضخم ومرتب إلى هاذي الدرجه يستهين بلاحترازات الوقائية ومجلس الناس في الشمس حسبي الله ونعم الوكيل,-1,-1,-1,-1,private
"#مستشفى_الحمادي_بالسويدي  ١٥ رمضان  عدم الاهتمام والالتزام بالمواعيد من قبل المستشفى و باجراءات الاحترازية  بعد شهر حصلت الموعد عن طريق #تطبيق_صحتي وهذي اخرتها، (تجمعات)؟ وين التباعد؟؟ مدري اباخذ كورونا ولا اللقاح؟؟؟  منظر مخيف @SaudiMOH @SaudiNews50  https://t.co/2s5ZfkZEWJ",-1,-1,-1,-1,private
"@tfrabiah لو سمحت اخذنا عينه من مستشفى الحمادي قبل 5 ايام والى الان مافيه تجاوب وكل مااتصل عليهم يقفلون بوجهي ،؟؟ ليه اللعب بااعصاب الناس كذا",-1,-1,-1,-1,private
